event,homeTeam,standardPoint,awayTeam,gameType,winDistribute,drawDistribute,loseDistribute,finalScore,gameResult
프리그1,리옹    ,, 클레르몽,일반,승1.41,무4.10,패5.40,0 : 1,패
프리그1,리옹    ,H -1.0, 클레르몽,핸디캡,승2.13,무3.55,패2.60,-1 : 1,패
프리그1,리옹    ,H -2.5, 클레르몽,핸디캡,승3.55,-,패1.17,-2.5 : 1,패
프리그1,리옹    ,U/O 2.5, 클레르몽,언더오버,U2.19,-,O1.47,1,U
EPL,노팅엄포,, 첼시    ,일반,승5.20,무3.60,패1.50,1 : 1,무
EPL,노팅엄포,H +1.0, 첼시    ,핸디캡,승2.21,무3.35,패2.60,2 : 1,승
EPL,노팅엄포,U/O 2.5, 첼시    ,언더오버,U1.77,-,O1.75,2,U
프리그1,랑스    ,, PSG     ,일반,승3.20,무3.40,패1.89,3 : 1,승
프리그1,랑스    ,H +1.0, PSG     ,핸디캡,승1.71,무3.65,패3.60,4 : 1,승
프리그1,랑스    ,U/O 2.5, PSG     ,언더오버,U2.02,-,O1.56,4,O
NBA,멤피그리,, 새크킹스,일반,승1.41,-,패2.34,118 : 108,승
NBA,멤피그리,H -5.5, 새크킹스,핸디캡,승1.80,-,패1.72,112.5 : 108,승
NBA,멤피그리,H -4.5, 새크킹스,핸디캡,승1.76,-,패1.76,113.5 : 108,승
NBA,멤피그리,U/O 241.5, 새크킹스,언더오버,U1.73,-,O1.79,226,U
NBA,멤피그리,U/O 240.5, 새크킹스,언더오버,U1.73,-,O1.79,226,U
NBA,멤피그리,U/O 238.5, 새크킹스,언더오버,U1.73,-,O1.79,226,U
NBA,밀워벅스,, 워싱위저,일반,승1.55,-,패2.04,95 : 118,패
NBA,밀워벅스,H -8.5, 워싱위저,핸디캡,승1.70,-,패1.82,86.5 : 118,패
NBA,밀워벅스,H -4.5, 워싱위저,핸디캡,승1.74,-,패1.78,90.5 : 118,패
NBA,밀워벅스,H -2.5, 워싱위저,핸디캡,승1.72,-,패1.80,92.5 : 118,패
NBA,밀워벅스,U/O 225.5, 워싱위저,언더오버,U1.80,-,O1.72,213,U
NBA,밀워벅스,U/O 226.5, 워싱위저,언더오버,U1.80,-,O1.72,213,U
NBA,밀워벅스,U/O 224.5, 워싱위저,언더오버,U1.80,-,O1.72,213,U
NBA,밀워벅스,U/O 220.5, 워싱위저,언더오버,U1.80,-,O1.72,213,U
NBA,덴버너게,, 보스셀틱,일반,승2.13,-,패1.50,123 : 111,승
NBA,덴버너게,H +1.5, 보스셀틱,핸디캡,승1.78,-,패1.74,124.5 : 111,승
NBA,덴버너게,H +3.5, 보스셀틱,핸디캡,승1.76,-,패1.76,126.5 : 111,승
NBA,덴버너게,U/O 235.5, 보스셀틱,언더오버,U1.74,-,O1.78,234,U
A리그,웰링피닉,, 멜버시티,일반,승3.15,무3.45,패1.89,1 : 3,패
A리그,웰링피닉,H +1.0, 멜버시티,핸디캡,승1.75,무3.75,패3.35,2 : 3,패
A리그,웰링피닉,U/O 2.5, 멜버시티,언더오버,U2.07,-,O1.53,4,O
