종목,홈팀,기준점,원정팀,게임유형,승,무,패,최종스코어,경기결과
NBA,새크킹스,U/O 243.5, 애틀호크,언더오버,U1.77,-,O1.75,237,U
KBL,고양캐롯,, 울산모비,일반,승2.11,-,패1.51,80 : 77,승
KBL,고양캐롯,H +2.5, 울산모비,핸디캡,승1.82,-,패1.70,82.5 : 77,승
KBL,고양캐롯,H +3.5, 울산모비,핸디캡,승1.77,-,패1.75,83.5 : 77,승
KBL,고양캐롯,U/O 163.5, 울산모비,언더오버,U1.81,-,O1.71,157,U
KBL,서울삼성,, 창원LG  ,일반,승2.64,-,패1.32,68 : 79,패
KBL,서울삼성,H +4.5, 창원LG  ,핸디캡,승1.81,-,패1.71,72.5 : 79,패
KBL,서울삼성,H +5.5, 창원LG  ,핸디캡,승1.76,-,패1.76,73.5 : 79,패
KBL,서울삼성,U/O 154.5, 창원LG  ,언더오버,U1.80,-,O1.72,147,U
KBL,서울삼성,U/O 155.5, 창원LG  ,언더오버,U1.80,-,O1.72,147,U
KOVO남,삼성화재,, 한국전력,일반,승2.34,-,패1.41,3 : 2,승
KOVO남,삼성화재,H +1.5, 한국전력,핸디캡,승1.65,-,패1.89,4.5 : 2,승
KOVO남,삼성화재,U/O 184.5, 한국전력,언더오버,U1.84,-,O1.69,198,O
KOVO여,흥국생명,, GS칼텍스,일반,승1.74,-,패1.78,3 : 2,승
KOVO여,흥국생명,H -1.5, GS칼텍스,핸디캡,승2.43,-,패1.38,1.5 : 2,패
KOVO여,흥국생명,U/O 182.5, GS칼텍스,언더오버,U1.76,-,O1.76,204,O
EPL,첼시    ,, 맨체스C ,일반,승4.30,무3.85,패1.55,0 : 1,패
EPL,첼시    ,H +1.0, 맨체스C ,핸디캡,승2.11,무3.35,패2.75,1 : 1,무
EPL,첼시    ,U/O 2.5, 맨체스C ,언더오버,U1.90,-,O1.64,1,U
NBA,올랜매직,, 멤피그리,일반,승2.77,-,패1.29,115 : 123,패
